Date,Temperature (�,Relative Humidity (%),Pressure (hPa),Wind speed (m/s),Wind direction (deg),Rainfall (kg/m2),Snowfall (kg/m2),Snow depth (m),GHI,Previous1day GHI ,Previous week GHI,Previous month GHI,Year,WoY,MoY,DoM,DoW,Target
01/01/2010,12.953,88.41,996.06,2.62,191.38,1.214135,0,0,2123.225,2997.555,2640.949,3214.949,2010,1,1,1,5,2337.521
02/01/2010,15.853,90.17,990.1,5.48,202.61,3.53894,3.00E-06,0,2337.521,2123.225,1010.559,2569.03,2010,1,1,2,6,2687.423
03/01/2010,13.393,76.79,989.34,3.94,227.1,1.169128,1.50E-05,0,2687.423,2337.521,1881.442,1165.246,2010,1,1,3,7,2917.522
04/01/2010,11.953,68.35,993.17,2.35,296.29,0.658098,5.00E-06,0,2917.522,2687.423,661.9271,1151.965,2010,1,1,4,1,2777.122
05/01/2010,8.553,62.88,1000.9,2.57,58.57,7.00E-06,0,0,2777.122,2917.522,2411.31,506.7883,2010,1,1,5,2,3037.478
06/01/2010,9.603,68.91,1004.72,1.86,69.78,0,0,0,3037.478,2777.122,2968.535,2515.732,2010,1,1,6,3,3067.428
07/01/2010,11.213,70.1,1003.86,1.78,64.79,0,0,0,3067.428,3037.478,2997.555,2953.755,2010,1,1,7,4,3099.016
08/01/2010,13.073,63.02,1004.82,1.7,63.23,0,0,0,3099.016,3067.428,2123.225,2921.466,2010,2,1,8,5,3033.091
09/01/2010,14.183,58.04,1004.8,2.14,49.3,0,0,0,3033.091,3099.016,2337.521,1630.36,2010,2,1,9,6,2185.562
10/01/2010,12.693,65.85,1001.68,2.68,44.52,0,0,0,2185.562,3033.091,2687.423,711.9127,2010,2,1,10,7,2358.689
11/01/2010,11.313,76.09,996.76,0.93,57.15,0.07895,0,0,2358.689,2185.562,2917.522,433.9308,2010,2,1,11,1,505.7085
12/01/2010,10.053,83.2,997.01,2.49,56.52,9.375306,0.012162,1.00E-06,505.7085,2358.689,2777.122,1084.1,2010,2,1,12,2,1934.687
13/01/2010,10.713,84.53,993.18,0.52,62.78,2.257822,0.003769,3.00E-06,1934.687,505.7085,3037.478,2952.163,2010,2,1,13,3,684.8663
14/01/2010,13.153,87.57,993.25,3.99,189.3,10.936225,3.31E-04,1.10E-05,684.8663,1934.687,3067.428,1564.43,2010,2,1,14,4,1201.978
15/01/2010,12.573,88,998.01,1.87,159.76,3.808333,1.00E-05,6.00E-06,1201.978,684.8663,3099.016,800.3964,2010,3,1,15,5,2241.686
16/01/2010,13.133,80.91,1002.04,2.61,84.08,1.561611,5.00E-06,1.00E-06,2241.686,1201.978,3033.091,700.4966,2010,3,1,16,6,1826.355
17/01/2010,12.863,73.93,1000.55,3.98,41.43,0.010863,1.30E-05,0,1826.355,2241.686,2185.562,2201.692,2010,3,1,17,7,592.9388
18/01/2010,12.063,79.88,990.22,4.61,37.51,20.430589,0.003191,1.23E-04,592.9388,1826.355,2358.689,1659.461,2010,3,1,18,1,2389.091
19/01/2010,12.673,81.14,988.5,1.14,82.04,11.982413,2.90E-05,6.90E-05,2389.091,592.9388,505.7085,1642.903,2010,3,1,19,2,1293.404
20/01/2010,11.613,87.11,991.93,1.53,186.29,18.946153,0.001227,7.60E-05,1293.404,2389.091,1934.687,2165.929,2010,3,1,20,3,2639.125
21/01/2010,10.643,74.63,997.88,2.55,215.51,1.004114,3.00E-04,1.89E-04,2639.125,1293.404,684.8663,2009.968,2010,3,1,21,4,2601.012
22/01/2010,9.833,75.62,1000.33,1.64,82.41,2.945123,0.017086,2.64E-04,2601.012,2639.125,1201.978,2762.77,2010,4,1,22,5,1189.255
23/01/2010,11.323,87.11,994.67,2.28,152.77,6.0906,0.012207,3.97E-04,1189.255,2601.012,2241.686,1109.081,2010,4,1,23,6,1040.984
24/01/2010,9.883,80.23,991.44,1.72,12.62,6.979102,5.52E-04,0.001208,1040.984,1189.255,1826.355,2640.949,2010,4,1,24,7,3665.387
25/01/2010,5.063,59.27,996.25,5.31,3.17,0.057401,1.40E-05,7.05E-04,3665.387,1040.984,592.9388,1010.559,2010,4,1,25,1,3853.073
26/01/2010,1.523,55.18,1007.76,4.09,28.32,6.00E-05,6.00E-05,9.50E-05,3853.073,3665.387,2389.091,1881.442,2010,4,1,26,2,3804.363
27/01/2010,2.283,56.74,1006.42,2.5,58.81,0,0,5.90E-05,3804.363,3853.073,1293.404,661.9271,2010,4,1,27,3,1986.269
28/01/2010,3.473,69.68,995.43,4.25,50,0.00295,0.001462,1.97E-04,1986.269,3804.363,2639.125,2411.31,2010,4,1,28,4,2059.322
29/01/2010,4.553,79.34,995.18,3.21,52,1.662383,0.002106,4.57E-04,2059.322,1986.269,2601.012,2968.535,2010,5,1,29,5,835.3478
30/01/2010,7.563,81.42,993.54,5.17,43.76,1.726607,0.00685,4.81E-04,835.3478,2059.322,1189.255,2997.555,2010,5,1,30,6,1553.306
31/01/2010,10.163,87.19,993.66,1.29,64.07,1.622836,0.002486,9.60E-05,1553.306,835.3478,1040.984,2123.225,2010,5,1,31,7,2874.078
01/02/2010,11.643,85.22,997.26,1.8,196.75,1.029512,4.00E-06,4.10E-05,2874.078,1553.306,3665.387,2337.521,2010,5,2,1,1,2132.787
02/02/2010,11.963,84.26,993.66,2.77,176.58,2.084638,2.30E-05,1.40E-05,2132.787,2874.078,3853.073,2687.423,2010,5,2,2,2,3062.717
03/02/2010,9.423,73.32,986.38,2.54,241.24,8.378812,0.009066,2.40E-04,3062.717,2132.787,3804.363,2917.522,2010,5,2,3,3,3808.14
04/02/2010,3.583,56.04,993.26,5.89,348.84,1.64E-04,2.30E-05,5.43E-04,3808.14,3062.717,1986.269,2777.122,2010,5,2,4,4,3970.062
